,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
Cd163l1,3.32E-41,4.319149866,0.012,0.001,1.10E-36,Tprimed,Cd163l1
5830411N06Rik,1.93E-40,3.325368072,0.015,0.002,6.39E-36,Tprimed,5830411N06Rik
Tcrg-C1,3.92E-53,3.315572715,0.016,0.001,1.30E-48,Tprimed,Tcrg-C1
Trdv5,2.20E-25,3.127686172,0.013,0.003,7.30E-21,Tprimed,Trdv5
Nudt8.1,1.01E-68,3.107128847,0.024,0.003,3.35E-64,Tprimed,Nudt8.1
Dmrta1,4.06E-96,3.086383318,0.031,0.003,1.34E-91,Tprimed,Dmrta1
Aqp9,3.75E-66,3.078067948,0.02,0.002,1.24E-61,Tprimed,Aqp9
Gm26809,3.18E-81,3.06996498,0.029,0.004,1.06E-76,Tprimed,Gm26809
Rbpms,1.28E-45,3.041650645,0.018,0.003,4.25E-41,Tprimed,Rbpms
Yes1,9.10E-76,2.997085394,0.029,0.004,3.02E-71,Tprimed,Yes1
AL590144.2,0,2.97276881,0.125,0.017,0,Tprimed,AL590144.2
Gm33104,2.22E-189,2.968338728,0.07,0.009,7.35E-185,Tprimed,Gm33104
AC163040.1,1.20E-27,2.948576781,0.01,0.001,3.99E-23,Tprimed,AC163040.1
Gm26732,1.08E-32,2.927374772,0.012,0.002,3.59E-28,Tprimed,Gm26732
Kdm6bos,1.59E-33,2.897962289,0.012,0.002,5.28E-29,Tprimed,Kdm6bos
Kcnj8,7.14E-52,2.878667699,0.02,0.003,2.37E-47,Tprimed,Kcnj8
Rpl36a-ps1,0,2.87448331,0.139,0.021,0,Tprimed,Rpl36a-ps1
Dirc2,1.27E-194,2.866195549,0.075,0.011,4.19E-190,Tprimed,Dirc2
Ints5.1,1.77E-134,2.798530144,0.053,0.008,5.86E-130,Tprimed,Ints5.1
AC163032.1,8.80E-93,2.794249105,0.035,0.005,2.92E-88,Tprimed,AC163032.1
Spon1,2.13E-51,2.730931283,0.02,0.003,7.05E-47,Tprimed,Spon1
Gm32036,1.27E-188,2.705562513,0.076,0.012,4.21E-184,Tprimed,Gm32036
Trgv2,7.97E-54,2.705050699,0.028,0.006,2.64E-49,Tprimed,Trgv2
Trav22,2.25E-33,2.701386559,0.014,0.002,7.46E-29,Tprimed,Trav22
4930480K23Rik,2.57E-26,2.695282569,0.01,0.002,8.50E-22,Tprimed,4930480K23Rik
AC165953.2,5.20E-77,2.673545696,0.032,0.005,1.72E-72,Tprimed,AC165953.2
Gm48914,1.47E-26,2.651906865,0.01,0.001,4.86E-22,Tprimed,Gm48914
Ddx3y,0,2.640103977,0.198,0.032,0,Tprimed,Ddx3y
AC129328.1,5.43E-40,2.627156118,0.018,0.003,1.80E-35,Tprimed,AC129328.1
Gm12840,0,2.625303585,0.368,0.08,0,Tprimed,Gm12840
Tcrg-C2,5.10E-51,2.622468551,0.021,0.003,1.69E-46,Tprimed,Tcrg-C2
Atp5o.1,0,2.618028095,0.453,0.07,0,Tprimed,Atp5o.1
Apol7b,1.29E-57,2.610009216,0.023,0.004,4.28E-53,Tprimed,Apol7b
Gm26720,4.40E-23,2.596450533,0.01,0.002,1.46E-18,Tprimed,Gm26720
Gm26669,1.40E-117,2.586778154,0.051,0.009,4.63E-113,Tprimed,Gm26669
Gm49207,2.36E-47,2.583154823,0.022,0.004,7.83E-43,Tprimed,Gm49207
AC146911.1,1.36E-63,2.58138415,0.028,0.005,4.51E-59,Tprimed,AC146911.1
Gm26518,1.82E-204,2.569103414,0.09,0.016,6.03E-200,Tprimed,Gm26518
AC139671.1,4.36E-31,2.543223873,0.013,0.002,1.44E-26,Tprimed,AC139671.1
Kdm5d,2.98E-155,2.523497923,0.071,0.013,9.86E-151,Tprimed,Kdm5d
Tcrg-C4,3.89E-34,2.521763931,0.016,0.003,1.29E-29,Tprimed,Tcrg-C4
Eif2s3y,0,2.514428513,0.281,0.049,0,Tprimed,Eif2s3y
Klra6,7.61E-13,2.476696983,0.013,0.005,2.52E-08,Tprimed,Klra6
Gm20696,6.21E-224,2.475819862,0.104,0.02,2.06E-219,Tprimed,Gm20696
Gon7,8.40E-156,2.471603021,0.072,0.013,2.78E-151,Tprimed,Gon7
Uty,8.26E-129,2.459052978,0.061,0.012,2.74E-124,Tprimed,Uty
Trdc,0,2.41049342,0.382,0.065,0,Tprimed,Trdc
Bc1,3.06E-41,2.408782156,0.02,0.004,1.01E-36,Tprimed,Bc1
B430306N03Rik,5.31E-67,2.369215739,0.03,0.005,1.76E-62,Tprimed,B430306N03Rik
Drc1,5.18E-48,2.356270379,0.021,0.004,1.72E-43,Tprimed,Drc1
Fam109a,8.45E-23,2.341502463,0.013,0.003,2.80E-18,Tprimed,Fam109a
Gm17477,2.77E-28,2.338843889,0.013,0.003,9.16E-24,Tprimed,Gm17477
Mmp16,2.55E-47,2.327548124,0.024,0.005,8.46E-43,Tprimed,Mmp16
Gm37387,3.18E-159,2.317896498,0.079,0.016,1.05E-154,Tprimed,Gm37387
Gm26551,3.60E-158,2.30759253,0.076,0.015,1.19E-153,Tprimed,Gm26551
Wnt4,8.24E-46,2.299296493,0.023,0.005,2.73E-41,Tprimed,Wnt4
Gm21988,2.39E-58,2.288430917,0.032,0.007,7.92E-54,Tprimed,Gm21988
Cdh1,4.87E-34,2.250569918,0.015,0.003,1.61E-29,Tprimed,Cdh1
A430078G23Rik,2.07E-155,2.241352836,0.08,0.017,6.84E-151,Tprimed,A430078G23Rik
Gm26733,6.57E-20,2.212498519,0.011,0.003,2.18E-15,Tprimed,Gm26733
Zfp985,8.57E-21,2.193226148,0.012,0.003,2.84E-16,Tprimed,Zfp985
Akap2,9.75E-27,2.147992206,0.013,0.003,3.23E-22,Tprimed,Akap2
Gm26615,1.14E-41,2.133558469,0.021,0.005,3.79E-37,Tprimed,Gm26615
C530050E15Rik,6.59E-42,2.122909558,0.022,0.005,2.18E-37,Tprimed,C530050E15Rik
B130006D01Rik,1.12E-51,2.104149001,0.028,0.006,3.70E-47,Tprimed,B130006D01Rik
AC160336.1,2.09E-52,2.09693601,0.037,0.01,6.91E-48,Tprimed,AC160336.1
Gm45509,2.52E-37,2.096033752,0.02,0.005,8.36E-33,Tprimed,Gm45509
Gm26541,4.17E-49,2.081381693,0.027,0.006,1.38E-44,Tprimed,Gm26541
Gm7324,5.93E-14,2.056823821,0.012,0.004,1.97E-09,Tprimed,Gm7324
Gm3448,4.27E-81,2.039560538,0.047,0.011,1.41E-76,Tprimed,Gm3448
Klra7,1.10E-06,2.032679912,0.015,0.009,0.036318198,Tprimed,Klra7
Gm47689,1.05E-36,2.031267481,0.022,0.006,3.49E-32,Tprimed,Gm47689
Gm340,8.40E-36,1.99011336,0.021,0.005,2.78E-31,Tprimed,Gm340
Gm20186,0,1.989991873,0.434,0.14,0,Tprimed,Gm20186
Pde6a,5.55E-45,1.969575648,0.028,0.007,1.84E-40,Tprimed,Pde6a
Rps27rt,0,1.961932569,0.683,0.404,0,Tprimed,Rps27rt
Fam208a,1.78E-275,1.942936137,0.184,0.053,5.90E-271,Tprimed,Fam208a
Gm26563,8.34E-18,1.93133645,0.011,0.003,2.77E-13,Tprimed,Gm26563
AC147041.1,1.16E-111,1.924586352,0.071,0.018,3.83E-107,Tprimed,AC147041.1
Aaed1,7.11E-182,1.893574006,0.127,0.037,2.36E-177,Tprimed,Aaed1
mt-Nd3,0,1.873537762,0.718,0.516,0,Tprimed,mt-Nd3
Gm26517,3.42E-70,1.870142666,0.051,0.015,1.13E-65,Tprimed,Gm26517
Gm16152,2.06E-101,1.853278545,0.072,0.021,6.84E-97,Tprimed,Gm16152
Tmem37,4.30E-51,1.851053975,0.037,0.011,1.43E-46,Tprimed,Tmem37
Gzmm,1.57E-76,1.841091012,0.075,0.027,5.20E-72,Tprimed,Gzmm
Gm48960,6.43E-34,1.820480937,0.023,0.006,2.13E-29,Tprimed,Gm48960
Fam208b,5.97E-186,1.811735709,0.138,0.042,1.98E-181,Tprimed,Fam208b
Zfp112,3.22E-19,1.793229556,0.014,0.004,1.07E-14,Tprimed,Zfp112
Dopey1,5.17E-155,1.777835979,0.121,0.038,1.71E-150,Tprimed,Dopey1
Snhg9,5.60E-135,1.772458178,0.09,0.024,1.86E-130,Tprimed,Snhg9
Fam84b,2.00E-27,1.761059601,0.02,0.006,6.63E-23,Tprimed,Fam84b
Fuk,3.17E-16,1.739140879,0.012,0.004,1.05E-11,Tprimed,Fuk
AI606181,2.72E-37,1.735829728,0.028,0.008,9.02E-33,Tprimed,AI606181
Gm26771,3.19E-39,1.729379868,0.028,0.008,1.06E-34,Tprimed,Gm26771
Zfp968,1.07E-14,1.72009206,0.01,0.003,3.55E-10,Tprimed,Zfp968
Tldc1,9.30E-14,1.719730849,0.012,0.004,3.08E-09,Tprimed,Tldc1
Gm11808,0,1.715762275,0.662,0.414,0,Tprimed,Gm11808
4930518I15Rik,1.59E-21,1.70932999,0.017,0.006,5.28E-17,Tprimed,4930518I15Rik
Gm26609,7.87E-45,1.702785502,0.032,0.009,2.61E-40,Tprimed,Gm26609
Gm42715,1.50E-51,1.691789813,0.038,0.011,4.98E-47,Tprimed,Gm42715
Ccdc180,2.24E-44,1.690568631,0.042,0.015,7.43E-40,Tprimed,Ccdc180
Gm15614,1.57E-16,1.68974547,0.012,0.004,5.20E-12,Tprimed,Gm15614
Irs2,7.49E-82,1.663612394,0.068,0.022,2.48E-77,Tprimed,Irs2
1700025G04Rik,1.47E-115,1.648770218,0.115,0.043,4.86E-111,Tprimed,1700025G04Rik
Gm26522,2.68E-42,1.647506564,0.037,0.012,8.88E-38,Tprimed,Gm26522
Fam69a,7.23E-229,1.644303549,0.192,0.065,2.40E-224,Tprimed,Fam69a
Fxyd4,2.69E-54,1.641496908,0.044,0.014,8.92E-50,Tprimed,Fxyd4
Prag1,2.68E-147,1.639501235,0.133,0.046,8.86E-143,Tprimed,Prag1
G0s2,9.22E-125,1.627809567,0.096,0.029,3.06E-120,Tprimed,G0s2
Nrarp,1.93E-48,1.612890784,0.055,0.022,6.38E-44,Tprimed,Nrarp
Evi2,2.47E-77,1.603282952,0.064,0.021,8.19E-73,Tprimed,Evi2
Nuak2,4.52E-13,1.598771823,0.012,0.004,1.50E-08,Tprimed,Nuak2
Zufsp,4.13E-203,1.598572653,0.164,0.053,1.37E-198,Tprimed,Zufsp
Gm14327,4.03E-25,1.598387286,0.019,0.006,1.34E-20,Tprimed,Gm14327
Gm4631,7.52E-33,1.591900346,0.024,0.007,2.49E-28,Tprimed,Gm4631
Ctbp2,2.07E-11,1.589708,0.011,0.004,6.85E-07,Tprimed,Ctbp2
Mfsd4a,2.43E-78,1.587211325,0.066,0.022,8.05E-74,Tprimed,Mfsd4a
2610037D02Rik,1.42E-86,1.575799503,0.084,0.03,4.71E-82,Tprimed,2610037D02Rik
Zcchc11,0,1.575344942,0.344,0.135,0,Tprimed,Zcchc11
Zfp992,8.34E-45,1.560499941,0.04,0.014,2.76E-40,Tprimed,Zfp992
Gm47283,2.56E-256,1.546771243,0.271,0.112,8.49E-252,Tprimed,Gm47283
Gm49179,2.33E-16,1.546458742,0.013,0.004,7.71E-12,Tprimed,Gm49179
